Quel est votre niveau de satisfaction concernant votre CPAM;Que pourrait faire votre CPAM pour améliorer votre satisfaction globale?
Assez satisfait;Être plus joignable, plus explicite, plus agréable,
Assez satisfait;J'ai voulu envoyer des devis de soins dentaires, IMPOSSIBLE de trouver l'adresse mail, j'ai tout fouiller, pourtant je suis vraiment à l'aise avec le numérique, c'est mon métier. C'est une galère sans nom. Tellement d'irritants que je me suis résolu à devoir envoyer par courrier... sauf que vraiment quelle horreur, qui envoie encore des courriers sinon les séniors ?
Très satisfait;Bonjour, Je suis très satisfaite du service proposé par la CPAM via le compte AMELI, et notamment la carte vitale des enfants à partir de 12 ans, une vraie réussite pour les enfants de parents séparés, cela empêche la prise en otage par l'un des parents pour tous les soins.
Assez satisfait;A mon avis si je vous contacte plusieurs fois via le site, c'est que je n'ai pas compris ou loupé une étape. Je pense qu à partir de ce moment-là, il vaut mieux un appel de votre part pour expliquer le non avancement du dossier ou demande, avoir des detailsexplications.
Assez satisfait;La facilité de dossier pour la CMU à pouvoir l'envoyer par email
Pas du tout satisfait;Être capable de corriger les erreurs qu'ils font dans notre dossier. Ils se sont trompés de nom de mon nouveau médecin traitant en enregistrant le formulaire. Et ne sont pas capables de le changer. Il faut que j'attende d'être malade pour que mon médecin traitant puisse refaire le changement ou que je prenne un rdv juste pour ça.
Assez satisfait;on peux toujours s'ameliorer l'ensemble de vous prestations vont dans la bonne direction
Peu satisfait;- comme auparavant, pouvoir déposer des courriers dans la boite aux lettres du centre CPAM Nîmes au lieu d'être obligé de les envoyer par la poste - pourvoir venir au centre pour obtenir des renseignements sans besoin de rdv - pouvoir contacter le centre 
Assez satisfait;Ayant la fibromyalgie et ne pouvant pas travailler et malgré la demande de cat 2 de mon médecin celle ci a été refusé alors que ma santé se détériore.... Cela ne m aide pas moralement ni financièrement.  J'aimerais avoir plus d aide en invalidité
Assez satisfait;La possibilité de trouver un médecin et prendre Rendez-vous comme p. ex.  Doctolib ou Maiia.
Très satisfait;Plus d'explications sur le niveau des remboursements
Très satisfait;je ne sais pas
Très satisfait;Aucune idée
Très satisfait;aucun tout va mieux qu'avant
Peu satisfait;Taux de remboursement généralisé entre un homme qui gagne 5000e par mois et une femme seule avec 3 enfants qui galère à travailler à perte. Toujours des franchise obscures qui font encore perdre de l argent. Aucune indemnités en cas d arrêt de travail pour enfant malade. En cas de dépose de dossier, délais de traitement trop long. Mise en place de procedure d aide après délai d arrêt de travail d un mois alors que devrait être étudié au cas par cas. Pas autant de perte sur les arrêts maladies
Assez satisfait;Suite à un licenciement pour inaptitude, j'ai perdu mes droits de chômage vu que m'a catégorie d'invalidité est passée de 1 à 2, 2 mois après mon inscription à pôle emploi,
Très satisfait;Pas de suggestion
Très satisfait;Peu être un suivie avec le médecin plus rapide afin d'étudier nos pathologies afin traiter plus rapidement nos dossiers
Très satisfait;Améliorer l'accès et la communication par messagerie pour mieux échanger !
Assez satisfait;Pouvoir envoyer des documents par mail Pouvoir télécharger plusieurs documents
Très satisfait;délais de réponse plus courts avoir une personne physique au téléphone avoir des rdv facilement
Très satisfait;je ne sais pas
Assez satisfait;Ne pas attendre 45 minutes avant d'avoir un conseiller ou une conseillère.
Assez satisfait;accès au compte plus simple
Très satisfait;J aurai aimé être reçu car mon arrêt a duré longtemps de février à septembre mon burn out est dû au stress à mon travail mon responsable pousse beaucoup de gens à bout dans mon entreprise et il s en vente !!! je suis disponible pour vous rencontrer si vous le souhaiter je suis cheffe d équipe chez bcm cosmétiques à Vitré j ai entendu parlé que vous y faisiez une enquête car il y a beaucoup d arrêt  Cordialement  Galland Delphine
Assez satisfait;Je n’ai rien à dire
Pas du tout satisfait;Je suis sourde a 110 % Impossible de faire la démarche de chez vous depuis 1 mois et demi !! Mdph me demande un accord de prise en charge anticipée pour le renouvellement de mes prothèses auditifs à la secu et le cpam a besoin une entente préalable par le médecin MAIS LEQUEL (y a 6 entente préalable différentes)!!! J'ai pris le rdv à la secu au bureau (15 jrs d'attente), la personne qui m'a accueilli ne save pas comment avancer mon dossier !!!  Et j'ai envoyé 2 courriers au medecin conseil, pas de reponse .. archi Nulle mais pas possible ... une honte  !!!!  Mdph attends toujours, je suis au milieu...
Très satisfait;RAS
Assez satisfait;Relevés de pensions d'invalidité annuels.
Assez satisfait;Etre plus rapide pour les remboursements de soins par l'envoi de feuilles de soins papier !!
Assez satisfait;Pour le ticket modérateur nous avertir
Très satisfait;Merci de ne rien changer. Tout est parfait. Grande simplicité, cela me convient parfaitement
Assez satisfait;Délai de traitement
Peu satisfait;Répondre
Assez satisfait;Me verser ma pension d invalidité que je n ai pas reçu 2 mois
Assez satisfait;Proposer des listes de complémentaires à prix abordables en cas de refus des cmu prix abordables et remboursements biens pris en charges par complémentaires
Assez satisfait;Que la CPAM me vienne en aide le jour où j'en aurais besoin. Pour le moment RAS.
Pas du tout satisfait;Avoir un délai clair et précis concernant le versement des indemnités journalières pour temps partiel thérapeutique et ce même lorsque dans le même mois il y a un arrêt classique associé au temps partiel thérapeutique au lieu de laisser les « dossiers complexes » en attentes à la place de les traiter.
Pas du tout satisfait;Plus de médecin traitant depuis Juin 2022 Diabétique et HTA Reconnu je n 'ai plus qu'à mourrir dans les souffrances et quand on appelle le 116-117 45' d 'attente et se faire raccrocher au nez aucun retour aucune action de votre part des réponses bateau à cotéé de la plaque ... on  n'a plus quà crever toute seule dans notre coin ! on est pourtant un département dynamique mais pas pour ses habitant que fait l ' ARS et la CPAM !!! et je ne vous parle pas de spécialiste qui sont introuvable ( dermato dentiste ) Je suis ecoeuré de notre système de santé en france .
Assez satisfait;Alerter des fins de droits
Assez satisfait;Éviter d égarer les feuilles de soins.
Très satisfait;"Pour les remboursements de soin qui ne peuvent être envoyés en automatique à une complémentaire santé, retirer du document la phrase ""Votre feuille a été envoyée automatiquement à votre complémentaire santé"", car ça empêche le remboursement par la complémentaire santé qui pense qu'elle n'a rien à payer."
Assez satisfait;l'idéal pour toutes ces organisations serait de ne plus nous considérer comme des USAGERS mais comme des clients....
Très satisfait;je n'ai pas un niveau assez bon en informatique pour faire des demandes par ordinateur c'est pour cela que le courrier ou la visite sont utile pour moi.
Assez satisfait;Bonsoir, suite à ma visite chez le cardiologue le 09/10/2023, j'ai étonné que le remboursement n'a pas été dans les mêmes proportions que celui du mois d'avril sans explication de votre part malgré ma demande par courrier resté sans réponse. Mon cardiologue m'ayant informé qu'il était toujours OPTAM et CSC... A vous lire. MERCI
Très satisfait;Sur le compte ameli concernant le code de sécurité il serait bien de l envoyer par sms
Peu satisfait;vous demandez notre satisfaction lors d'envoi de mail depuis Ameli, or nous ne pouvons plus envoyer de mail à la CPAM ce qui est bien regrettable, il faudrait même pouvoir envoyer des documents comme feuille de soins, arrêt de travail etc..  les feuilles de soins mettent 15 jours voir plus pour le remboursement c'est trop long,
Assez satisfait;Depuis le 2 octobre je n' ai pas reçu mes ij ça me met dans une situation très inconfortable car je peux plus payer mon loyer.
Peu satisfait;Ne pas laisser les gens sans revenus pour un document manquant (IJ) voir directement avec les médecins pour obtenir ces documents
Peu satisfait;Concernant le traitement des arrêts maladie prescrits par une sage femme, pendant une grossesse, je suggère d’améliorer la communication en ligne via l’envoi possible de pièces jointes.  La femme enceinte doit de surcroît deviner toutes les démarches seule. Il y a besoin d’améliorer le sens des démarches ainsi que les adresses postales si besoin, pourquoi pas en passant directement par les praticiens qui effectuent la première consultation de grossesse.
Assez satisfait;Suivi invalidité par un rv que j’arrive pas à réaliser pour ma maladie chronique évolutive
Assez satisfait;"Rajouter dans la liste principale des démarches à accomplir "" envoyer un mail à ma caisse"" sans passer par le chat qui ne répond pas pas à notre demande précisement."
Pas du tout satisfait;c est le bordel pour seconnecter au site d'amelie. Obligé d'avoir deux adresse mail maisune seule pour le courrier postal ?  etre obligé d'utiliser deux ordinateurs pour avoir un mot de passe supplémetnaire et ENFIN ne pas être informé si un courrier arrive.  je ne vis pas regarder touts les semaines pour oi s'il y a une informain ou une demande de réglement soit pour me connecter aujourd hui 45 minutes
Assez satisfait;Très faible revenus d'indemmitées journalières.
Assez satisfait;Je trouve le calcul des retenues dues aux franchises sur les médicaments et les soins très peu compréhensibles et pratiquement impossibles à vérifier
Assez satisfait;pour des difficultees de marche : apres l'achat d'une canne pour mon equilibre    j'espere le rembourssement  peut'etre     que ce n'est pas remboursse ?  pour touts les autres soins qui le sont  merci :  Pierre Ogeron .
Peu satisfait;Pouvoir contacter une personne par téléphone rapidement Pourvoir laisser un message si besoin sur le site (ce qui n'est pas le cas actuellement trop compliqué) impossible de laisser un e-mails sur le compte ameli. Vous devriez avoir une adresse internet Que le site soit plus clair et plus simple d'utilisation
Pas du tout satisfait;on ne peut pas les joindre il faut déposer les feuilles de soins dans la boîte aux lettres et attendre 30 jours avant le remboursement car les agents de l'accueil ne veulent pas les prendre
Assez satisfait;ce que fait ameli me convient pour le moment merci
Pas du tout satisfait;Avoir des gens compétents au téléphone. Former le personnels aux assurés comme nous qui avons été artisans. Les délais sont trop longs.
Assez satisfait;Offrir la possibilité via le site ameli d'envoyer des copies de feuilles de soin en vue d'un remboursement. aujourd'hui il faut envoyer la feuille par courrier avec des délais de traitement trop longs. Mon premier courrier a été perdu et j'ai du renouveler ma demande par courrier d'où perte de temps!!
Peu satisfait;Depuis trois mois l aide a ACLS est accordé mais toujours en attente de réception et pourtant les mutuelles augmentent
Pas du tout satisfait;Éviter de prendre pour une merde l'assuré. Et de l''escroquer .
Très satisfait;Pas la peine d'envoyer des mails à répétition sur les vaccinations grippe + Covid dont je ne tiens pas compte
Assez satisfait;Pas de réponse possible à un message envoyé par la CPAM. Lors de mon dernier message réponse non adaptée à ma situation!  Essai appel téléphonique mais pas de réponse après plus de 15 mn d’attente!
Assez satisfait;Une personnalisation pertinente des propositions et alertes
Assez satisfait;"POurquoi ,ayant fait un avc ,m as t on enleve mes 100 pour cent , je ne suis pas handicapee totalement ;"
Très satisfait;rien
Pas du tout satisfait;Répondre au téléphone. Répondre aux mails.
Très satisfait;Accédez plus facilement à rédiger un mail
Pas du tout satisfait;je vient ver vous pour vous dire que j'au dossier en attente de remboursement de mon opérations qui a été effectuer donc moi j'ais tout payer de ma poche est que cela ma coutée 3500 euros j'ai donnez mon dossier ça vas faire plus 6mois de ça je dois dire que je suis parti en vacance en Tunisie pas pour me faire opérait mes pour aller en vacance je tien a vous le dire de suite heureusement que je suis tomber une un super Dr  Mansour Gastroentérologue  la bas est aussi avec un super chirurgien est et le Dr choucy eu deux mon sauver la vie si eu aurait pas été j'airais fais une Hémorragie interne est je serait pas la a vous faire se message a se jour le 08.12.2923 cette argent je les débourser de ma poche de se coté la j'ai plus de réponse j'ai bien donner mon dossier a vitré on ma dit vous aller avoir une répond dans 6 moi honte de voir ça je dois vous le dire 3500 euros ça ma couter tout cela de ma poche Quand Aller vous me répondre dite moi QUAND Penser vous me rembourser dite moi en 2024 c'est ça dite moi je penser pas subir ça le 15 aout a non ils mon sauver la vie je leur dois ma vie a eu deux a oui en France on est toujours en retard de tout au niveaux des remboursement c'est cela que je vous reproche fortement a oui si j'ais pas de satisfactions a ma demande je vais devoir vous donner RDV AU TRIBUNAL a oui  avec mon avocate qui vas se faire une plaisir de vous dire des choses pour avoir satisfactions pour l'argent que j'ai du avancer mon avocate je lui en est parler elle ma dit pas de réponse de votre par ça sera le tribunal  a vous de voir mon dossier pour me donner vite une satisfactions pour me rembourser cette somme la bas en Tunisie
Assez satisfait;J'aimerai que l'on puisse répondre aux mails que vous nous envoyez. Cela ne sert à rien d'envoyer des courriers en réponse à vos mails . Les informations  se croisent et ne vont pas toujours aux bons destinataires. C'est très  difficile d'avoir des conversations qui durent des semaines entre vos mails et mes courriers
Très satisfait;Plus d'informations sur les droits au départ en retraite pour les personnes en situation de handicap avec d'autres droits au départ anticipé via une convention collective, aucune information nous confirme que nous pouvons cumuler nos différents avantages pour partir plus tôt en retraite et aucune information nous dirige ou s'informer
Assez satisfait;rien
Assez satisfait;lors des appels, il y a trop d'attente en ligne, les coups des appel coutent cher
Très satisfait;je n'ai pas de suggestion
Assez satisfait;"Un appel téléphonique d'une extrême violence et méchanceté m'a été faite début juin pour me dire que je ne serais plus prise en charge en octobre...chose que je savais...et qui à jugé ma situation sans même connaître mon dossier. Seul appel de cette ""dame"" était vraiment inhumain sinon tout c'est très bien passé."
Très satisfait;Difficultés de remboursement des cures par la mutuelle qui ne reçoit pas les documents directement
Pas du tout satisfait;Faire son travail..
Très satisfait;Clarifier ses réponses et répondre réellement aux questions
Pas du tout satisfait;1) répondre aux questions posées,  notamment par lettre RAR adressée en juillet 2023 à la CRA et restée sans réponse .....c'est très impoli !!!! 2) accroître la capacité de la puce de la carte vitale qui ne peut contenir que 2 exonérations et non pas 3.
Peu satisfait;il serait bien que l'on puisse envoyer des mails quand on ne trouve pas la réponse à ces questions sur le site. La CPAM devrait nous envoyer également des informations concernant notre dossier personnel car pas de suivi.
Assez satisfait;Avoir sur basse-terre un service qui s'occupe des arrêts maladie  au lieu de les envoyer à pointe à pitre. Pouvoir envoyer sur le site ameli les arrêts maladies pour que cela soit plus vite traiter surtout quand le patron ne fait pas la subrogation.
Pas du tout satisfait;IMPPOSSIBLE DE LES JOINDRES POURAVOIR UN CODE OU UN RENSEIGNEMENTS
Peu satisfait;vous pourriez cesser de basculer des,comptes d'assurés du régime local vers le régime général pour notamment des assurés déjà à la retraite et qui bénéficient du régime local en tant que retraités.
Peu satisfait;Etant retraité, je passe 6 mois par an en villégiature en Espagne à la saison froide. Devant recevoir des soins dentaires et plus particulièrement lourds en ce moment, je trouve tout-à-fait ANORMAL de devoir attendre 10 mois (!!!) pour être remboursé de soins à l'étranger. Pourquoi? Comment expliquez-vous qu'un dossier complet ne parvienne à Vannes, le centre gérant les soins à l'étranger, que plusieurs mois après sa réception dans vos services? Pourquoi un tel délai avant traitement? Je vous ai envoyé un dossier complet avec preuves de paiement, etc, le 28 avril en lettre suivie. Vous me dites qu'il est parvenu à Vannes le 28 juillet (!!!) et qu'il sera traité dans les 4 mois à venir, soit d'ici fin février! De qui se moque-t-on? J'ai dû piocher sur mon livret A pour avancer les frais, cet argent me fait défaut et rien ne vient toujours pas à la mi-décembre. Ce service doit être entièrement réformé car il n'est absolument pas normal d'attendre jusqu'à 10 mois un remboursement de soins, dut-il être à l'étranger!
Très satisfait;Rien à signaler
Très satisfait;rien
Peu satisfait;"les prises en charge de nos médicaments et des remboursements d'honoraires et des dépassements de  spécialiste , sont honteusement faibles. Plus nous avançons dans les années , plus nous devons nous privés de remboursements .Nous sommes en retraite et nos pensions sont faibles ; aussi ARRETEZ de nous faire payer pour d'autres. Les médicaments les plus nécessaires à notre santé sont très faiblement remboursés ."
Peu satisfait;Avoir une personne competante et unique pour la gestion de son dossier. Et qu elle puisse repondre correctement aux questions. Service invalidité
Assez satisfait;1) J aimerai bien envoyer les feuilles de soins via mon compte AMELI ou par email 2) pouvoir envoyer un email via mon compte AMELI ou avoir une adresse email valide  quand on a des questions. car on peut le faire que dans certains cas
Assez satisfait;En 2017 j'ai eu un accident de travail qui a donné suite à une longue période d'arrêt. L'employeur et la caisse se sont entendu pour ne pas reconnaître la prise en compte de mon accident et je n'ai été pris en charge, non pas en accident mais en maladie   Une véritable honte !!! Comme si j'avais inventé cet accident qui est arrivé devant plusieurs témoins et qui est survenu à cause de l'employeur. Car il avait été prévenu que je m'étais déjà fait mal et il n'a rien fait pour améliorer la situation.  Bilan j'ai été accidenté mais la caisse a préféré aller dans le sens de ses magouilles pour ne pas avoir a me payer plus..
Très satisfait;je suis trés satisfait
Assez satisfait;En fait je trouve que pour envoyer un message via amelie n'est pas assez simple daut chercher un moment pour trouver comment envoyer un message
Assez satisfait;Depuis le 20 novembre je n'ai pas eue de versement pour mes arrêts maladie j'ai des factures à payer et plus de compléments de salaires.
Assez satisfait;Accès aux information avec mots de passe, etc. assez compliqué. Résultats prise de sang ou autres examins très compliqués et parfois impossible pour y accéder.
Assez satisfait;Delai pour recevoir ma carte bitale a été de 8 semaines, alors qu'on nous qu'il faut 3 à 4 semaines
Assez satisfait;Avoir possibilité de transmettre des documents par la messagerie
Peu satisfait;Tout simplement tenir compte de nos remarques !
Assez satisfait;Remboursements soient faits plus rapidement
Pas du tout satisfait;etre compétant et etre à l'écoute
Assez satisfait;Renoncé-à-me-connecter-surAméli:vos-système-sde-securié-son-ttropcompliqués-pour-moi
Assez satisfait;que se passe-t-il quand nous n'avons plus de médecin traitant ? Que pouvons-nous faire pour le renouvellement de nos ordonnances ? A ce sujet, aucuine information de votre part. Pour d'autres sujets, vous savez nous contacter, pour ce sujet pré-cité, pas de questionnement, ce qui suggère que cela ne vous préoccupe pas vraiment.
Peu satisfait;Etre suivie par le seul interlocuteur qui rédige la réponse à nos questions.
Assez satisfait;Répondre à chaque demande faite, sans avoir besoin de réclamer une réponse aux dossiers déposés
Peu satisfait;Impossibilité de voir mes informations dans mon application. Il est écrit que le service est momentanément indisponible... depuis 2 semaines !
Assez satisfait;"Il est très difficile d'envoyer des email. C'est probablement un des sites les plus compliqué pour celà.  Il est aussi incroyable que je doive envoyé 2 feuilles de soins par courrier pour un remboursement qui avait bogué chez le praticien. Le coût temps/argent (sans parler de celui de ma dermatologue) est exagéré. Tout cela pour un souci de case que la cpam aurait pu rectifier. C'est de l'excès de zèle tout simplement. Ubuesque; on a l'impression d'être dans un sketch télé !"
Pas du tout satisfait;Je ne réussi pas à  me connecter avec un nouveau mot de passe .J en ai marre d essayer
Très satisfait;Vous êtes déjà très bien pour nous
Assez satisfait;Donner plus de renseignements de suivi de dossier
Peu satisfait;Bonjour  Je peux vous dire que c'est juste TOTALEMENT ANORMALE que l-on peux pas vous contacter par MAIL TOTALEMENT ANORMALE.Arreter de nous basiner avec vos vaccinations COVID ETC....ma nièce est decede des suite du COVID
Peu satisfait;Avoir un suivi quand a eu un arrêt de travail
Assez satisfait;Améliorer le application ameli. C'est un vrai calvaire de l'utiliser. Elle ne sert presque à rien. N'arrive pas à télécharger des documents importants qu'on m'a envoyé, impossible de faire des démarches dans l'application.
Assez satisfait;Base de retenus sur l’année  totale sur les soins ,?
Assez satisfait;Je pense qu'il y a un problème sur la prise de rdv par téléphone la plupart du temps ce service a un problème, et que les dates de rdv sont trop longues pour des problèmes urgent. C'est pour cela que je passe par des mails.
Peu satisfait;pouvoir faire un mail aux services de la CPAM
Assez satisfait;rester comme actuellement, changer les choses peu parfois les compliquer.
Assez satisfait;Pas de réponse à une question importante pour moi concernant mes IJ, dommage....
Assez satisfait;Permettre l'envoi de pièces jointes lors des demandes de contact permettrait de simplifier certaines démarches (envoi de feuilles de soin ou d'arrêt de travail, par exemple)
Assez satisfait;je ne peux pas consulter mes remboursements  car je n'ai plus de mot de passe et le code de sécurité doit être changé très régulièrement donc je ne peux plus communiquer avec Ameli et c'est bien dommage car je trouvais ce contact très intéressant. je pense que mon mari Aimé Berger et moi-même devons avoir chacun notre mot de passe et notre code de sécurité ce qui a tout embrouillé et j'ai laissé tomber...
Assez satisfait;moin d'attente au telephone
Pas du tout satisfait;Prendre l'état de santé générale des gens avec beaucoup +++++ de considération. Médecin conseil très inhumain.
Assez satisfait;amelioration du site pour acceder a l envoi de courriers electroiniqiues.  beaucoup de dffilcutées a trouver le lien
Assez satisfait;Mettre de vraies personnes pour répondre à la place du chatbot… ça éviterait de n’avoir comme réponse que ce qu’on trouve en faisant une recherche par internet. Au moins un moyen d’être rappelé si la réponse ne convient pas…
Assez satisfait;Ma demande peu comprise et donc réponse légère hélas peu satisfaisante
Peu satisfait;M'envoyer un message pour me dire que la feuille de maladie n'est pas correctement rempli par le praticien, au bout de 15 jours Inadmiscible: 40kms pour refaire la feuille  et 2 timbres, c'est plus qu'élève remboursement  que j'attendais, n'aurait il pas été plus judicieux de contacter le praticien directement, plutôt que d'attendre 1mois et demi pour un remboursement  de 7,50...incroyable mais vrai, desolant
Peu satisfait;maladie professionnel
Assez satisfait;Pas de commentaire dans l'immédiat. Assez satisfait dans l'ensemble.
Assez satisfait;Écouter l’assuré avant d’écouter les patrons pour accident de travail
Très satisfait;Satisfait  Par contre,  cette enquête, beaucoup trop longue!
Assez satisfait;Problème récurent de remboursement avec la complémentaire sur les soins de mon fils, Paul !!!!
Assez satisfait;Un peu plus de clarté pour poser des questions sur le compte Améli
Très satisfait;Dans le cas de certains arrêts , j aimerais pouvoir contacter un médecin régulateur ou conseils afin d obtenir quelques renseignementst
Assez satisfait;Assez bien dans l ensemble à part dans certains cas, le délai de remboursement un peu long
Peu satisfait;Rapidité et clarté !!! J’ai attendu 3 mois pour être indemnisé de mon congé maternité ! Me demandant tout et n’importe quel document dans le vent sans avoir de réponse et quels documents il manquait
Très satisfait;Rien de plus
Peu satisfait;Traiter ma demande dans un délai raisonnable
Assez satisfait;Qu'on trouve plus facilement ou envoyer les mails
Assez satisfait;Traitement des arrêt de maladie et remboursement plus rapidement
Assez satisfait;liaison entre le compte du conjoint et le mien
Pas du tout satisfait;Il serait souhaitable que la CPAM m’aide dans ma recherche d’un médecin référent. Ce n’est pas le cas
Assez satisfait;Quand nous posons une question où autre cela mais trop longtemps à mous répondre où pas du tout exemple pour mon passage en catégorie 3 et pourquoi j'ai soit disant des indemnités journalières je ne comprends pas je n'ai retravailler depuis 2010 et je suis invalide et amputé des deux jambes et un cancer au poumon voilà pourquoi je ne suis pas très favorable d'Amélie désoler.
Assez satisfait;Faciliter l accès au compte Ameli.
Peu satisfait;Être plus aimable et respectueux lors d'échanges.  Ne pas faire sentir que l'on vous enquiquine car ça ne nous amuse pas non plus ces démarches
Pas du tout satisfait;AU MOINS LA POLITESSE DE REPONDRE AUX DEMANDES DE DOCUMENT !!!!!!
Assez satisfait;Lorsque j'utilise le service ameli pour poster un message. 1 - Il est difficile de trouver par ou passer pour envoyer un message, Cela devrait être plus simple d'accés. 2 - La prise en compte de la question n'est pas personnalisée. Il serait plus simple de prendre plus de temps pour répondre et surtout de répondre aprés avoir consulter le dossier et donc de donner une réponse adaptée pourtant je fais des efforts dans la rédaction de la question pour avoir justement une réponse claire et précise et pas une réponse généraliste. Lorsqu'on téléphone la personne qui répond à le dossier et donne une réponse adaptée. il devrait en être de même pour les messages. Pour la CPAM je pense que ce serait un bon moyen de gérer le flux des demandes. Ceci ci le service globalement est bon mais les règles et les lois sont complexes à trouver et à comprendre. C'est cet effort qu'il faut faire me semble-t-il.
Assez satisfait;Améliorer le délai de traitement quand on envoi une feuille de soins par courrier et possibilité d'envoyer une feuille de soins via le compte AMELI
Assez satisfait;Accélérer les délais de traitement de dossier/rembourement ect
Assez satisfait;J'aimerais  avoir un 100/100
Très satisfait;Satisfait
Assez satisfait;Plus de disponibilité plus de flexibilité
Assez satisfait;Permettre d'envoyer  des feuilles de soins sur un espace sur internet, via ameli poir obtenir un remboursement.
Très satisfait;PAS DE MEDECIN TRAITANT IMPOSSIBLE D AVOIR UN RENDEZ VOUS .VISITE ANNUELLE CONTROLE  70 ANS ,,?
Pas du tout satisfait;Je suis très déçue par l'organisation de la Cpam.  Certains membres du personnel se sentent mieux dans des bureaux internes et d'autres mieux adaptés pour assurer l'accueil du public. Il ne faut surtout pas contrarier le personnel c'est normal. Sinon l'on peut arriver à des conditions de travail insatisfaisantes pour le personnel et le public. Le respect de chacun est de mise.
Très satisfait;"Une information aux parents d'enfants devenant majeurs ;qui est remboursé des frais de santé, lien avec la mutuelle..."
Assez satisfait;Pouvoir contacter par mail et envoyer les documents
Assez satisfait;Bonsoir que le médecin conseil aurait du m écoutez un peu plus il m'a obligé a reprendre mon travail en sachant que je faisais de la dépression a cause de mon employeur et de sa gouvernante parce que je subissais du harcèlement, je ne me sentais pas prête de reprendre maintenant ,au début de mon arrêt une plainte a été déposée en gendarmerie les concernant, elle m'a mis au pied du mur j’ai été obligée de reprendre prévenu mon conseiller syndical et l’inspecteur du travail qui les surveille de près si ils viennent à recommencer ils les ont a l’œil , je tends le dos tout les jours quand ils sont là ,j’aurais voulu avoir plus de temps pour être plus forte pour les affronter, je n’ai pas eu cette chance, j’ai dû faire avec , j’espère seulement ne pas amplifier cette dépression a cause de votre médecin conseil  ,parce que si je suis obligée de retourné en arrêt a cause d’eux je ne pourrai plus avoir le complément de salaire de mon employeur avant l’année prochaine c’est juste valable un fois dans l’année, d’où mon mécontentement j’aurais voulu être prête a les affronter.
Peu satisfait;Remboursement consultation médecin inexact sur ma dernière consultation
Assez satisfait;Continuer a améliorer pour le bien de tous
Peu satisfait;J'étais en AT en 2021 j'ai fait toutes mes démarches par mail pour au final me dire que mon dossier était perdu et que je n'avais aucun recours alors que j'aurais du avoir une revalorisation de mon taux d'handicap. Très très déçu
Très satisfait;RAS
Assez satisfait;Répondre aux questions
Très satisfait;Je n'ai pas de suggestion à proposer car je suis entièrement satisfait de la CPAM.
Très satisfait;RAS
Assez satisfait;Peut être indiqué les dates de versement approximative de virement des IJ, pour mieux gérer un budget lorsque l on est en arrêt de travail. Merci.
Assez satisfait;Améliorer l’exactitude des relevés mensuels qui comportent des omissions.
Assez satisfait;je n'utilise pas suffisamment souvent pour avoir une opinion
Très satisfait;RAS
Peu satisfait;Avoir un site internet plus ergonomique, avoir la possibilité de faire beaucoup plus de démarche en ligne comme par exemple changement de coordonnées bancaires sans devoir en plus envoyer des documents par courrier. Plus de réactivité pour répondre au téléphone et avoir des réponses précises pour éviter d'appeler plusieurs fois et avoir des versions différentes. Avoir un meilleur suivi des dossiers et rembourser les soins et les IJ beaucoup plus vite qu'actuellement.
Assez satisfait;Meilleures accessibilitees
Assez satisfait;Réduire le délai de traitement lors de l'envoi de courrier (aujourd'hui environ 3 semaines)  Pouvoir contacter la CPAM par téléphone si besoin
Peu satisfait;De faire au plus vite car depuis mon accident de travaille je n’ai toujours pas été payé
Pas du tout satisfait;Vous êtes un tas de fainéants payés avec nos cotisations  On a qu’une seule envie c’est de mettre une bombe dans votre caisse
Peu satisfait;Avoir un accès direct aux réclamations, améliorer est une perte de temps, pouvoir envoyer des documents par mail
Peu satisfait;traiter plus rapidement les dossier
Assez satisfait;L appli pour le portable n est pas assez visible sur ordi c est mieux mais je n' ai pas d ordi ,pas facile pour les personnes âgées
Très satisfait;Merci
Peu satisfait;Plus de clarté dans la procédure de traitement des frais engendrés lors d'hospitalisation au Luxembourg
Assez satisfait;C'est très bien ainsi. Peut être avoir une messagerie sur le compte améli pour échanger avec un conseiller en cas de besoin ou, comme ca a été mon cas, vous informer d'une absence.
Peu satisfait;Prendre en compte les informations, et d'éviter de changer d'avis.
Très satisfait;Continuez comme cela
Très satisfait;Un retour de réponse par mail un peu plus personnalisé par rapport aux questions et pas forcement nous faire des copier/coller de réponses ou il faut regarder sur la console. Si je fais un mail c'est parce que je n'ai pas la réponse justement Merci
Très satisfait;Je c est pas
Assez satisfait;Sur la page d'accueil peut être écrire plus gros les diffèrents postes de manière à les repérer plus facilement.
Assez satisfait;"Bonjour,  Vous arrivez à voir un remboursement que je ne peux pas encore voir sur mon compte ameli : ne pas me faire une réponse type comme : ""vous auriez consulté le robot, il vous aurait répondu que votre remboursement a eu lieu"".  Il devrait être possible d'accéder plus facilement à l'envoi d'un message, le robot fait de l'obstruction. Apparemment vous ne voulez pas être dérangé."
Assez satisfait;Diminuer le temps de réponse car j'ai dû attendre près de 6 mois avant de recevoir celle-ci.
Très satisfait;Proposer d'adresser des message par courriel ET par SMS plutôt que de se limiter à l'un ou à l'autre. De même j'aimerais conserver la possibilité de contacter ma CPAM par téléphone ET par mail Revenir à l'accueil au téléphone par une personne plutôt que par un robot qui ne sait pas prendre en compte les spécificités des appelants.
Assez satisfait;Améliorer les temps de paiement des indemnités journalières
Très satisfait;reponse rapide
